STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Andhra Pradesh,1,Adilabad ,Adilabad ,7,1662,1386282,834,11,8,5,1055593,76.15,
Uttar Pradesh,18,Agra,Agra,5,1866,1814739,973,25,15,13,1070405,71.82,
Maharashtra,37,Ahmadnagar ,Ahmadnagar ,6,1946,1705005,876,19,13,11,1062780,81.53,
Gujarat,7,Ahmedabad East,Ahmedabad East,7,1641,1601832,976,24,14,12,986526,51.05,
Gujarat,8,Ahmedabad West,Ahmedabad West,7,1471,1534400,1043,14,11,9,965560,53.06,
Rajasthan,13,Ajmer,Ajmer,8,1804,1683261,933,17,12,10,1156867,79.75,
Uttar Pradesh,44,Akbarpur,Akbarpur,5,1792,1768635,987,28,18,16,971448,84.16,
Maharashtra,6,Akola,Akola,6,1755,1672643,953,9,7,4,978630,77.70,
Kerala,15,Alappuzha,Alappuzha,7,1130,1271149,1125,17,13,11,998656,76.52,
Kerala,9,Alathur ,Alathur ,7,1036,1216207,1174,15,12,10,928656,53.30,
Uttar Pradesh,15,Aligarh,Aligarh,5,1770,1793126,1013,21,14,11,1064697,76.52,
West Bengal,2,Alipurduars,Alipurduars,7,1810,1470911,813,10,10,7,1225237,71.93,
Uttar Pradesh,52,Allahabad,Allahabad,5,1551,1666569,1075,36,23,20,891635,81.38,
Uttarakhand,3,Almora,Almora,14,1943,1253541,645,11,9,7,656934,72.69,
Rajasthan,8,Alwar,Alwar,8,1786,1626442,911,25,19,17,1063043,53.06,
Andhra Pradesh,24,Amalapuram ,Amalapuram ,7,1500,1357865,905,18,14,12,1121986,82.63,
Haryana,1,Ambala,Ambala,9,1762,1692424,961,20,14,12,1220125,76.15,
Uttar Pradesh,55,Ambedkar Nagar,Ambedkar Nagar,5,1717,1718774,1001,27,14,11,1034435,80.11,
Uttar Pradesh,37,Amethi,Amethi,5,1636,1669843,1021,38,34,32,874872,81.53,
Maharashtra,7,Amravati ,Amravati ,6,1835,1612739,879,33,19,17,1004542,51.05,
Gujarat,14,Amreli,Amreli,7,1694,1486286,877,19,14,12,809615,81.27,
Punjab,2,Amritsar,Amritsar,9,1527,1477260,967,32,23,21,1007286,71.93,
Uttar Pradesh,9,Amroha,Amroha,5,1572,1544245,982,20,15,13,1095895,53.30,
Andhra Pradesh,22,Anakapalli,Anakapalli,7,1584,1401474,885,11,8,6,1149326,82.01,
Gujarat,16,Anand,Anand,7,1577,1496859,949,20,15,13,971262,81.21,
Punjab,6,Anandpur Sahib,Anandpur Sahib,9,1831,1564708,855,23,18,15,1087487,77.70,
Andhra Pradesh,36,Anantapur,Anantapur,7,1671,1536894,920,17,13,11,1212195,78.87,
Jammu & Kashmir,3,Anantnag,Anantnag,17,1615,1301143,806,13,12,10,375281,72.69,
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1,386,269360,698,22,15,13,190346,76.15,
Uttar Pradesh,24,Aonla,Aonla,5,1753,1653577,943,14,13,10,995817,82.63,
Tamil Nadu,7,Arakkonam,Arakkonam,6,1623,1401813,864,35,27,24,1089771,51.05,
West Bengal,29,Arambagh,Arambagh,7,2053,1600293,779,5,5,3,1362848,76.64,
Tamil Nadu,12,Arani,Arani,6,1649,1369668,831,24,19,16,1096549,75.55,
Bihar,9,Araria,Araria,6,1422,1587332,1116,13,13,10,975813,53.30,
Bihar,32,Arrah,Arrah,7,1765,1824515,1034,13,12,10,893351,85.16,
Andhra Pradesh,18,Aruku ,Aruku ,7,1628,1272340,782,13,11,9,913838,71.82,
Arunachal Pradesh,2,ARUNACHAL EAST,Arunachal East,27,899,312704,348,3,3,1,263157,71.93,
Arunachal Pradesh,1,ARUNACHAL WEST,Arunachal West,33,1259,446640,355,8,8,6,337671,76.15,
West Bengal,40,Asansol,Asansol,7,1813,1469684,811,14,14,11,1142786,77.14,
Odisha,19,Aska,Aska,7,1579,1408780,892,9,9,7,896461,74.60,
Kerala,19,Attingal,Attingal,7,1118,1251111,1119,20,16,14,859365,74.60,
Bihar,37,Aurangabad,Aurangabad,6,1760,1536153,873,13,13,10,786342,81.53,
Maharashtra,19,Aurangabad,Aurangabad,6,1713,1589395,928,45,27,25,983057,74.60,
Assam,3,Autonomous District,Autonomous District,5,1006,702230,698,7,5,2,543717,72.69,
Uttar Pradesh,69,Azamgarh,Azamgarh,5,1686,1703121,1010,28,18,15,960600,67.60,
Uttar Pradesh,23,Badaun,Badaun,5,1812,1769145,976,17,15,13,1027669,77.68,
Karnataka,3,Bagalkot,Bagalkot,8,1809,1568633,867,20,13,11,1079324,72.69,
Uttar Pradesh,11,Baghpat,Baghpat,5,1465,1505175,1027,22,14,11,1004766,71.58,
West Bengal,10,Baharampur,Baharampur,7,1835,1453783,792,8,8,5,1154702,60.51,
Uttar Pradesh,56,Bahraich,Bahraich,5,1606,1638640,1020,12,10,8,934330,78.32,
Madhya Pradesh,15,BALAGHAT,Balaghat,8,1873,1629739,870,19,16,14,1113381,76.52,
Odisha,6,Balasore,Balasore,7,1553,1366218,880,12,10,7,1049861,77.70,
Uttar Pradesh,72,Ballia,Ballia,5,1757,1768271,1006,20,15,12,942275,55.45,
West Bengal,6,Balurghat,Balurghat,7,1487,1254497,844,13,12,9,1063404,77.70,
Gujarat,2,Banaskantha,Banaskantha,7,1755,1515711,864,27,14,12,887366,71.93,
Uttar Pradesh,48,Banda,Banda,5,1659,1601855,966,24,13,10,858689,88.36,
Karnataka,25,Bangalore central,Bangalore Central,8,1956,1931456,987,28,26,24,1074602,81.38,
Karnataka,24,Bangalore North,Bangalore North,8,2363,2401472,1016,19,14,12,1357553,82.63,
Karnataka,23,Bangalore Rural,Bangalore Rural,8,2497,2190398,877,16,15,12,1455610,77.68,
