Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
Andaman & Nicobar Islands,1,KULDEEP RAI SHARMA,Indian National Congress,VISHAL JOLLY,Bharatiya Janata Party,7812,Result Declared,BISHNU PADA RAY,Bharatiya Janata Party
Amalapuram ,7,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,120576,Result Declared,DR PANDULA RAVINDRA BABU,Telugu Desam
Anakapalli,5,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,ADARI ANAND KUMAR,Telugu Desam,47932,Result Declared,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam
Anantapur,19,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,J.C. PAVAN REDDY,Telugu Desam,61991,Result Declared,J.C. DIVAKAR REDDI,Telugu Desam
Aruku ,1,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,KISHORE CHANDRA DEO,Telugu Desam,91398,Result Declared,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party
Bapatla ,15,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,MALYADRI SRIRAM,Telugu Desam,32754,Result Declared,MALYADRI SRIRAM,Telugu Desam
Chittoor ,25,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,NARAMALLI SIVA PRASAD,Telugu Desam,44138,Result Declared,NARAMALLI SIVAPRASAD,Telugu Desam
Eluru ,10,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,101926,Result Declared,MAGANTI VENKATESWARA RAO (BABU),Telugu Desam
Guntur,13,Jayadev Galla,Telugu Desam,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,69111,Result Declared,JAYADEV GALLA,Telugu Desam
Hindupur,20,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,KRISTAPPA . NIMMALA,Telugu Desam,97325,Result Declared,KRISTAPPA NIMMALA,Telugu Desam
Kadapa,21,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,Chadipirala Adi Narayana Reddy,Telugu Desam,190323,Result Declared,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party
ARUNACHAL EAST,2,Tapir Gao,Bharatiya Janata Party,Lowangcha Wanglat,Indian National Congress,12478,Result Declared,NINONG ERING,Indian National Congress
ARUNACHAL WEST,1,KIREN RIJIJU,Bharatiya Janata Party,NABAM TUKI,Indian National Congress,41738,Result Declared,KIREN RIJIJU,Bharatiya Janata Party
Autonomous District,3,HOREN SING BEY,Bharatiya Janata Party,BIREN SINGH ENGTI,Indian National Congress,24095,Result Declared,BIREN SINGH ENGTI,Indian National Congress
Barpeta,6,Abdul Khaleque,Indian National Congress,Kumar Deepak Das,Asom Gana Parishad,42341,Result Declared,SIRAJ UDDIN AJMAL,All India United Democratic Front
Dhubri,4,BADRUDDIN AJMAL,All India United Democratic Front,ABU TAHER BEPARI,Indian National Congress,229730,Result Declared,BADRUDDIN AJMAL,All India United Democratic Front
Dibrugarh,13,RAMESWAR TELI,Bharatiya Janata Party,PABAN SINGH GHATOWAR,Indian National Congress,185347,Result Declared,RAMESWAR TELI,Bharatiya Janata Party
Gauhati,7,QUEEN OJA,Bharatiya Janata Party,BOBBEETA SHARMA,Indian National Congress,315784,Result Declared,BIJOYA CHAKRAVARTY,Bharatiya Janata Party
Jorhat,12,TOPON KUMAR GOGOI,Bharatiya Janata Party,SUSHANTA BORGOHAIN,Indian National Congress,102420,Result Declared,KAMAKHYA PRASAD TASA,Bharatiya Janata Party
Kaliabor,11,Gaurav Gogoi,Indian National Congress,Moni Madhab Mahanta,Asom Gana Parishad,93874,Result Declared,GOURAV GOGOI,Indian National Congress
Karimganj ,1,KRIPANATH MALLAH,Bharatiya Janata Party,RADHESHYAM BISWAS,All India United Democratic Front,102094,Result Declared,RADHESHYAM BISWAS,All India United Democratic Front
Kokrajhar,5,Naba Kumar Sarania,Independent,Pramila Rani Brahma,Bodoland Peoples Front,355779,Result Declared,NABA KUMAR SARANIA (HIRA),Independent
Lakhimpur,14,PRADAN BARUAH,Bharatiya Janata Party,ANIL BORGOHAIN,Indian National Congress,292138,Result Declared,SARBANANDA SONOWAL,Bharatiya Janata Party
Araria,9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,SARFARAZ ALAM,Rashtriya Janata Dal,146504,Result Declared,TASLEEM UDDIN,Rashtriya Janata Dal
Arrah,32,R. K. Singh,Bharatiya Janata Party,Raju Yadav,Communist Party of India  (Marxist-Leninist)  (Liberation),135870,Result Declared,RAJ KUMAR SINGH,Bharatiya Janata Party
Aurangabad,37,SUSHIL KUMAR SINGH,Bharatiya Janata Party,UPENDRA PRASAD,Hindustani Awam Morcha (Secular),66347,Result Declared,SUSHIL KUMAR SINGH,Bharatiya Janata Party
Banka,27,GIRIDHARI YADAV,Janata Dal  (United),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,10144,Result Declared,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal
Begusarai,24,Giriraj Singh,Bharatiya Janata Party,Kanhaiya Kumar,Communist Party of India,58335,Result Declared,BHOLA SINGH,Bharatiya Janata Party
Bhagalpur,26,AJAY KUMAR MANDAL,Janata Dal  (United),SHAILESH KUMAR ALIAS VULO MANDAL,Rashtriya Janata Dal,9485,Result Declared,SHAILESH KUMAR URPH BULO MANDAL,Rashtriya Janata Dal
Buxar,33,Ashwini Kumar Choubey,Bharatiya Janata Party,Jagadanand Singh,Rashtriya Janata Dal,132338,Result Declared,ASHWINI KUMAR CHOUBEY,Bharatiya Janata Party
Darbhanga,14,Gopal Jee Thakur,Bharatiya Janata Party,Abdul Bari Siddiqui,Rashtriya Janata Dal,35043,Result Declared,KIRTI AZAD,Bharatiya Janata Party
Gaya (SC),38,Vijay Kumar,Janata Dal  (United),Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),115504,Result Declared,HARI MANJHI,Bharatiya Janata Party
Gopalganj (SC),17,DR. ALOK KUMAR SUMAN,Janata Dal  (United),SURENDRA RAM,Rashtriya Janata Dal,286936,Result Declared,JANAK RAM,Bharatiya Janata Party
CHANDIGARH,1,KIRRON KHER,Bharatiya Janata Party,PAWAN KUMAR BANSAL,Indian National Congress,69642,Result Declared,KIRRON KHER ,Bharatiya Janata Party
BASTAR,10,DEEPAK BAIJ,Indian National Congress,BAIDU RAM KASHYAP,Bharatiya Janata Party,124359,Result Declared,DINESH KASHYAP,Bharatiya Janata Party
BILASPUR,5,ARUN SAO,Bharatiya Janata Party,ATAL SHRIVASTAV,Indian National Congress,176436,Result Declared,LAKHAN LAL SAHU,Bharatiya Janata Party
DURG,7,VIJAY BAGHEL,Bharatiya Janata Party,PRATIMA CHANDRAKAR,Indian National Congress,16848,Result Declared,TAMRADHWAJ SAHU,Indian National Congress
JANJGIR-CHAMPA,3,GUHARAM AJGALLEY,Bharatiya Janata Party,RAVI PARASRAM BHARDWAJ,Indian National Congress,174961,Result Declared,KAMLA PATLE,Bharatiya Janata Party
KANKER,11,MOHAN MANDAVI,Bharatiya Janata Party,BIRESH THAKUR,Indian National Congress,35158,Result Declared,VIKRAM  USENDI,Bharatiya Janata Party
KORBA,4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,JYOTI NAND DUBEY,Bharatiya Janata Party,4265,Result Declared,DR. BANSHILAL MAHTO,Bharatiya Janata Party
MAHASAMUND,9,CHUNNI LAL SAHU,Bharatiya Janata Party,DHANENDRA SAHU,Indian National Congress,1217,Result Declared,CHANDU LAL SAHU (CHANDU BHAIYA),Bharatiya Janata Party
RAIGARH,2,GOMATI SAI,Bharatiya Janata Party,LALJEET SINGH RATHIA,Indian National Congress,216750,Result Declared,VISHNU DEO SAI,Bharatiya Janata Party
RAIPUR,8,Sunil Kumar Soni,Bharatiya Janata Party,Pramod Dubey,Indian National Congress,171646,Result Declared,RAMESH BAIS,Bharatiya Janata Party
RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,BHOLA RAM SAHU,Indian National Congress,235911,Result Declared,ABHISHEK SINGH,Bharatiya Janata Party
