Name,Abbreviation,Foundation  year,Founder(s),State,Party symbol
All India Trinamool Congress,AITC,1998,Mamata Banerjee,,
Bahujan Samaj Party,BSP,1984,Kanshi Ram,,
Bharatiya Janata Party,BJP,1980,Syama Prasad Mookerjee (Bharatiya Jana Sangh) Atal Bihari Vajpayee L K Advani,,
Communist Party of India  (Marxist),CPIM,1964,A.K. Gopalan B.T. Ranadive E.M.S. Namboodiripad Harkishan Singh Surjeet Jyoti Basu M. Basavapunnaiah P. Ramamurti Promode Dasgupta P. Sundarayya,,
Indian National Congress,INC,1885,Allan Octavian Hume Dadabhai Naoroji Dinshaw Wacha Womesh Chunder Bonnerjee,,
Nationalist Congress Party,NCP,1999,P. A. Sangma Sharad Pawar Tariq Anwar,,
Vanchit Bahujan Aghadi,VBA,2018,Adv.Prakash Ambedkar,Maharastra,
Aam Aadmi Party,AAP,2012,Arvind Kejriwal,"Delhi, Punjab",
All India Anna Dravida Munnetra Kazhagam,AIADMK,1972,Edappadi K. Palaniswami and O. Paneerselvam,"Tamil Nadu, Puducherry",
All India Forward Bloc,AIFB,1939,Debabrata Biswas,West Bengal,
All India Majlis-E-Ittehadul Muslimeen,AIMIM,1927,Asaduddin Owaisi,Telangana,
All India N.R. Congress,AINRC,2011,N. Rangaswamy,Puducherry,
All India United Democratic Front,AIUDF,2004,Badruddin Ajmal,Assam,
AJSU Party,AJSU,1986,Sudesh Mahto,Jharkhand,
Amma Makkal Munnetra Kazhagam,AMMK,2018,T. T. V. Dhinakaran,"Tamilnadu, Puducherry",
Asom Gana Parishad,AGP,1985,Atul Bora,Assam,
Biju Janata Dal,BJD,1997,Naveen Patnaik,Odisha,
Bodoland People's Front,BPF,1985,Hagrama Mohilary,Assam,
Desiya Murpokku Dravida Kazhagam,DMDK,2005,Vijayakanth,Tamil Nadu,
Dravida Munnetra Kazhagam,DMK,1949,M. K. Stalin,"Tamil Nadu, Puducherry",
Goa Forward Party,GFP,2016,Vijai Sardesai,Goa,Coconut
Hill State People's Democratic Party,HSPDP,1968,Hopingstone Lyngdoh,Meghalaya,
Indian National League,INL,1994,Ebrahim Sulaiman Sait,Kerala and Tamil Nadu,Half moon
Indian National Lok Dal,INLD,1999,Om Prakash Chautala,Haryana,
Indian Union Muslim League,IUML,1948,Sayed Hyderali Shihab Thangal,"Kerala, Tamil Nadu",
Indigenous People's Front of Tripura,IPFT,2009,Mevar Kumar Jamatia,Tripura,
Jammu & Kashmir National Conference,JKNC,1932,Omar Abdullah,Jammu and Kashmir,
Jammu & Kashmir National Panthers Party,JKNPP,1982,Bhim Singh,Jammu and Kashmir,
Jammu and Kashmir People's Democratic Party,JKPDP,1998,Mehbooba Mufti,Jammu and Kashmir,
Janta Congress Chhattisgarh,JCC,2016,Ajit Jogi,Chhattisgarh,Farmer ploughing within square
Janata Dal  (Secular),JD(S),1999,H. D. Deve Gowda,"Karnataka, Kerala",
Janata Dal  (United),JD(U),1999,Nitish Kumar,Bihar,
Jharkhand Mukti Morcha,JMM,1972,Shibu Soren,Jharkhand,
Jharkhand Vikas Morcha (Prajatantrik),JVM(P),2006,Babu Lal Marandi,Jharkhand,
Kerala Congress  (M),KC(M),1979,C. F. Thomas,Kerala,
Lok Jan Shakti Party,LJP,2000,Ram Vilas Paswan,Bihar,
Maharashtra Navnirman Sena,MNS,2006,Raj Thackeray,Maharashtra,Railway engine
Athmeeya Munnettam,AMM,2006,Aji Kallumkal,Kerala,
Maharashtrawadi Gomantak Party,MGP,1963,Deepak Dhavalikar,Goa,
Mizo National Front,MNF,1959,Zoramthanga,Mizoram,
Mizoram Peoples Conference,MPC,1972,Lalhmingthanga,Mizoram,
Naga Peoples Front,NPF,2002,T. R. Zeliang,"Manipur, Nagaland",Rooster
National People's Party,NPP,2013,Conrad Sangma,"Meghalaya, Manipur, Nagaland, Arunachal Pradesh",
Nationalist Democratic Progressive Party,NDPP,2018,Neiphiu Rio,Nagaland,Globe
Pattali Makkal Katchi,PMK,1989,G. K. Mani,"Tamil Nadu, Puducherry",
People's Democratic Alliance,PDA,2012,Bd. Behring Anal,Manipur,Crown
People's Democratic Front,PDF,2017,P. N. Syiem,Meghalaya,Candles
People's Party of Arunachal,PPA,1987,Tomo Riba,Arunachal Pradesh,
Rashtriya Janata Dal,RJD,1997,Lalu Prasad Yadav,"Bihar, Jharkhand",Hurricane lamp
Rashtriya Loktantrik Party,RLP,2018,Hanuman Beniwal,Rajasthan,Bottle
Rashtriya Lok Samta Party,RLSP,2013,Upendra Kushwaha,Bihar,Ceiling fan
Revolutionary Socialist Party,RSP,1940,T. J. Chandrachoodan,"Kerala, West Bengal",Spade and stoker
Samajwadi Party,SP,1992,Akhilesh Yadav,Uttar Pradesh,
Shiromani Akali Dal,SAD,1920,Sukhbir Singh Badal,Punjab,
Shivsena,SS,1966,Uddhav Thackeray,Maharashtra,
Sikkim Democratic Front,SDF,1993,Pawan Kumar Chamling,Sikkim,Umbrella
Sikkim Krantikari Morcha,SKM,2013,Prem Singh Tamang,Sikkim,Table lamp
Telangana Rashtra Samithi,TRS,2001,Kalvakuntla Chandrashekar Rao,Telangana,
Telugu Desam,TDP,1982,N. Chandra Babu Naidu,"Andhra Pradesh, Telangana",
United Democratic Party,UDP,1972,Donkupar Roy,Meghalaya,
Yuvajana Sramika Rythu Congress Party,YSRCP,2011,Y. S. Jaganmohan Reddy,Andhra Pradesh,
Zoram Nationalist Party,ZNP,1997,Lalduhawma,Mizoram,
